title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,is_limited_run,seat_pricing,scrape_datetime
The Kast Off Kinks,https://malthousetheatre.co.uk/event/the-kast-off-kinks/,Musical,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-05-24,2026-05-24,2026-05-24,2026-05-24,"[{'date': '2026-05-24', 'time': '19:30'}]",,GBP,False,{'2026-05-24 19:30': []},2026-05-24 09:48
Ice Age Adventure Live,https://malthousetheatre.co.uk/event/ice-age-adventure-live/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-05-25,2026-05-25,2026-05-25,2026-05-25,"[{'date': '2026-05-25', 'time': '14:00'}]",,GBP,False,{'2026-05-25 14:00': []},2026-05-24 09:48
The Stars of Tomorrow,https://malthousetheatre.co.uk/event/hello-dolly/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,,,,,[],,GBP,False,{},2026-05-24 09:48
Ultimate Eagles,https://malthousetheatre.co.uk/event/ultimate-eagles/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-07-03,2026-07-03,2026-07-03,2026-07-03,"[{'date': '2026-07-03', 'time': '19:30'}]",,GBP,False,{'2026-07-03 19:30': []},2026-05-24 09:48
babyballet – Starmakers Show – ‘Twinkle & Teddy’s Grand Adventure’,https://malthousetheatre.co.uk/event/babyballet-starmakers-show-twinkle-teddys-grand-adventure/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,,,,,[],,GBP,False,{},2026-05-24 09:48
The Drifters,https://malthousetheatre.co.uk/event/the-drifters/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-07-06,2026-07-06,2026-07-06,2026-07-06,"[{'date': '2026-07-06', 'time': '19:30'}]",,GBP,False,{'2026-07-06 19:30': []},2026-05-24 09:48
Hadestown: Teen Edition,https://malthousetheatre.co.uk/event/hadestown-teen-edition/,Musical,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,,,,,[],,GBP,False,{},2026-05-24 09:49
Disney’s FROZEN,https://malthousetheatre.co.uk/event/disneys-frozen/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,,,,,[],,GBP,False,{},2026-05-24 09:49
Oh What A Night,https://malthousetheatre.co.uk/event/oh-what-a-night-2/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-07-19,2026-07-19,2026-07-19,2026-07-19,"[{'date': '2026-07-19', 'time': '19:30'}]",,GBP,False,{'2026-07-19 19:30': []},2026-05-24 09:49
Man in the Mirror – A Tribute to Michael Jackson,https://malthousetheatre.co.uk/event/man-in-the-mirror-a-tribute-to-michael-jackson/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-07-21,2026-07-21,2026-07-21,2026-07-21,"[{'date': '2026-07-21', 'time': '19:30'}]",,GBP,False,{'2026-07-21 19:30': []},2026-05-24 09:49
The Americana Revue,https://malthousetheatre.co.uk/event/the-americana-revue/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-07-22,2026-07-22,2026-07-22,2026-07-22,"[{'date': '2026-07-22', 'time': '19:30'}]",,GBP,False,{'2026-07-22 19:30': []},2026-05-24 09:49
Hounds of Love – The Kate Bush Celebration,https://malthousetheatre.co.uk/event/hounds-of-love-the-kate-bush-celebration/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-07-23,2026-07-23,2026-07-23,2026-07-23,"[{'date': '2026-07-23', 'time': '19:30'}]",,GBP,False,{'2026-07-23 19:30': []},2026-05-24 09:49
"MALTHOUSE COMEDY –  WITH STEPHEN K AMOS, DAVID TSONOS, BLANK PENG & HOSTED BY CHRIS BROOKER",https://malthousetheatre.co.uk/event/malthouse-comedy-with-stephen-k-amos-david-tsonos-blank-peng-hosted-by-chris-brooker/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-07-24,2026-07-24,2026-07-24,2026-07-24,"[{'date': '2026-07-24', 'time': '19:30'}]",,GBP,False,{'2026-07-24 19:30': []},2026-05-24 09:49
Natural Causes,https://malthousetheatre.co.uk/event/natural-causes/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,,,,,[],,GBP,False,{},2026-05-24 09:49
Very Santana,https://malthousetheatre.co.uk/event/very-santana/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-08-02,2026-08-02,2026-08-02,2026-08-02,"[{'date': '2026-08-02', 'time': '19:30'}]",,GBP,False,{'2026-08-02 19:30': []},2026-05-24 09:49
Bugsy Malone,https://malthousetheatre.co.uk/event/bugsy-malone/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,,,,,[],,GBP,False,{},2026-05-24 09:49
Strictly Nashville,https://malthousetheatre.co.uk/event/strictly-nashville/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-08-09,2026-08-09,2026-08-09,2026-08-09,"[{'date': '2026-08-09', 'time': '19:30'}]",,GBP,False,{'2026-08-09 19:30': []},2026-05-24 09:49
The Dinosaur That Pooped A Rock Show!,https://malthousetheatre.co.uk/event/the-dinosaur-that-pooped-a-rock-show/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-08-10,2026-08-10,2026-08-10,2026-08-10,"[{'date': '2026-08-10', 'time': '12:30'}]",,GBP,False,{'2026-08-10 12:30': []},2026-05-24 09:49
Fireman Sam Live! The Lost Pirate Treasure,https://malthousetheatre.co.uk/event/fireman-sam-the-lost-pirate-treasure/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-08-11,2026-08-11,2026-08-11,2026-08-11,"[{'date': '2026-08-11', 'time': '12:30'}]",,GBP,False,{'2026-08-11 12:30': []},2026-05-24 09:49
Tom Gates EPIC Stage Show,https://malthousetheatre.co.uk/event/tom-gates-epic-stage-show/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-08-12,2026-08-12,2026-08-12,2026-08-12,"[{'date': '2026-08-12', 'time': '12:30'}]",,GBP,False,{'2026-08-12 12:30': []},2026-05-24 09:49
Taylor Swift by Xenna- The Eras Experience,https://malthousetheatre.co.uk/event/taylor-swift-by-xenna-the-eras-experience/,Musical,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-08-15,2026-08-15,2026-08-15,2026-08-15,"[{'date': '2026-08-15', 'time': '19:00'}]",,GBP,False,{'2026-08-15 19:00': []},2026-05-24 09:49
One Night in Dublin,https://malthousetheatre.co.uk/event/one-night-in-dublin/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-08-16,2026-08-16,2026-08-16,2026-08-16,"[{'date': '2026-08-16', 'time': '19:30'}]",,GBP,False,{'2026-08-16 19:30': []},2026-05-24 09:49
Now That’s West End,https://malthousetheatre.co.uk/event/now-thats-west-end/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-10-17,2026-10-17,2026-10-17,2026-10-17,"[{'date': '2026-10-17', 'time': '19:30'}]",,GBP,False,{'2026-10-17 19:30': []},2026-05-24 09:49
Eric & Ern,https://malthousetheatre.co.uk/event/eric-ern/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-10-22,2026-10-22,2026-10-22,2026-10-22,"[{'date': '2026-10-22', 'time': '19:30'}]",,GBP,False,{'2026-10-22 19:30': []},2026-05-24 09:49
The Dr Hook Songbook,https://malthousetheatre.co.uk/event/the-dr-hook-songbook/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-10-24,2026-10-24,2026-10-24,2026-10-24,"[{'date': '2026-10-24', 'time': '19:30'}]",,GBP,False,{'2026-10-24 19:30': []},2026-05-24 09:49
The Opera Boys- The Farewell Tour Starring Paul Potts,https://malthousetheatre.co.uk/event/the-opera-boys-the-farewell-tour-starring-paul-potts/,Musical,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-10-27,2026-10-27,2026-10-27,2026-10-27,"[{'date': '2026-10-27', 'time': '19:30'}]",,GBP,False,{'2026-10-27 19:30': []},2026-05-24 09:49
Magic & Marvels,https://malthousetheatre.co.uk/event/magic-marvels-2/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-10-28,2026-10-28,2026-10-28,2026-10-28,"[{'date': '2026-10-28', 'time': '14:00'}]",,GBP,False,{'2026-10-28 14:00': []},2026-05-24 09:49
Goldilocks And The Three Bears,https://malthousetheatre.co.uk/event/goldilocks-and-the-three-bears/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2026-12-09,2027-01-03,2026-12-09,2027-01-03,"[{'date': '2026-12-09', 'time': '19:30'}, {'date': '2026-12-10', 'time': '19:30'}, {'date': '2026-12-11', 'time': '19:30'}, {'date': '2026-12-12', 'time': '19:30'}, {'date': '2026-12-13', 'time': '19:30'}, {'date': '2026-12-14', 'time': '19:30'}, {'date': '2026-12-15', 'time': '19:30'}, {'date': '2026-12-16', 'time': '19:30'}, {'date': '2026-12-17', 'time': '19:30'}, {'date': '2026-12-18', 'time': '19:30'}, {'date': '2026-12-19', 'time': '19:30'}, {'date': '2026-12-20', 'time': '19:30'}, {'date': '2026-12-21', 'time': '19:30'}, {'date': '2026-12-22', 'time': '19:30'}, {'date': '2026-12-23', 'time': '19:30'}, {'date': '2026-12-24', 'time': '19:30'}, {'date': '2026-12-25', 'time': '19:30'}, {'date': '2026-12-26', 'time': '19:30'}, {'date': '2026-12-27', 'time': '19:30'}, {'date': '2026-12-28', 'time': '19:30'}, {'date': '2026-12-29', 'time': '19:30'}, {'date': '2026-12-30', 'time': '19:30'}, {'date': '2026-12-31', 'time': '19:30'}, {'date': '2027-01-01', 'time': '19:30'}, {'date': '2027-01-02', 'time': '19:30'}, {'date': '2027-01-03', 'time': '19:30'}]",,GBP,True,"{'2026-12-09 19:30': [], '2026-12-10 19:30': [], '2026-12-11 19:30': [], '2026-12-12 19:30': [], '2026-12-13 19:30': [], '2026-12-14 19:30': [], '2026-12-15 19:30': [], '2026-12-16 19:30': [], '2026-12-17 19:30': [], '2026-12-18 19:30': [], '2026-12-19 19:30': [], '2026-12-20 19:30': [], '2026-12-21 19:30': [], '2026-12-22 19:30': [], '2026-12-23 19:30': [], '2026-12-24 19:30': [], '2026-12-25 19:30': [], '2026-12-26 19:30': [], '2026-12-27 19:30': [], '2026-12-28 19:30': [], '2026-12-29 19:30': [], '2026-12-30 19:30': [], '2026-12-31 19:30': [], '2027-01-01 19:30': [], '2027-01-02 19:30': [], '2027-01-03 19:30': []}",2026-05-24 09:49
CHITTY CHITTY BANG BANG,https://malthousetheatre.co.uk/event/chitty-chitty-bang-bang/,Play,The Malthouse Theatre,Malthouse Rd,Canterbury,UK,2017-02-20,2017-02-20,2017-02-20,2017-02-20,"[{'date': '2017-02-20', 'time': '19:30'}]",,GBP,False,{'2017-02-20 19:30': []},2026-05-24 09:49
